# mass	sfr	metal
8.500714302062988281e+00 -7.509599328041076660e-01 8.491782188415527344e+00
1.059714221954345703e+01 8.643801212310791016e-01 8.866035461425781250e+00
9.658145904541015625e+00 6.370010226964950562e-02 8.844169616699218750e+00
9.014694213867187500e+00 -4.278498888015747070e-01 8.649297714233398438e+00
1.044421482086181641e+01 2.307301014661788940e-01 8.960134506225585938e+00
1.031192207336425781e+01 -1.346499025821685791e-01 8.788237571716308594e+00
1.036165809631347656e+01 5.172200798988342285e-01 9.215888023376464844e+00
1.017285633087158203e+01 4.668400883674621582e-01 9.100480079650878906e+00
1.094979286193847656e+01 1.345200061798095703e+00 9.148640632629394531e+00
1.025393199920654297e+01 6.227800846099853516e-01 9.032745361328125000e+00
9.942578315734863281e+00 -1.985298991203308105e-01 8.961782455444335938e+00
1.056590461730957031e+01 1.133440136909484863e+00 9.027609825134277344e+00
1.066830062866210938e+01 6.869900822639465332e-01 9.034418106079101562e+00
1.041872692108154297e+01 6.942600607872009277e-01 9.158568382263183594e+00
1.094683265686035156e+01 1.202530145645141602e+00 9.198615074157714844e+00
9.286711692810058594e+00 3.182500898838043213e-01 8.582359313964843750e+00
9.394227027893066406e+00 -2.950499057769775391e-01 8.766357421875000000e+00
9.664183616638183594e+00 -7.271990925073623657e-02 8.839776039123535156e+00
9.093024253845214844e+00 -4.698199033737182617e-01 8.475416183471679688e+00
1.038048744201660156e+01 8.203101158142089844e-01 8.952933311462402344e+00
1.053698348999023438e+01 7.086200714111328125e-01 9.032226562500000000e+00
9.807553291320800781e+00 2.331901043653488159e-01 8.781474113464355469e+00
9.578564643859863281e+00 2.478009462356567383e-02 8.809796333312988281e+00
9.826658248901367188e+00 2.100009657442569733e-02 8.907921791076660156e+00
1.080065250396728516e+01 8.893700838088989258e-01 9.056157112121582031e+00
9.835986137390136719e+00 -3.341990336775779724e-02 9.060653686523437500e+00
9.746418952941894531e+00 -1.700098961591720581e-01 9.115173339843750000e+00
1.014408588409423828e+01 1.372400969266891479e-01 9.009246826171875000e+00
1.059969997406005859e+01 -7.932399511337280273e-01 8.652965545654296875e+00
1.015990161895751953e+01 2.164400964975357056e-01 9.082199096679687500e+00
9.288521766662597656e+00 -8.037899136543273926e-01 8.567051887512207031e+00
9.077423095703125000e+00 1.700944849289953709e-04 8.318821907043457031e+00
9.069469451904296875e+00 -3.100699186325073242e-01 8.338390350341796875e+00
1.015239524841308594e+01 1.907500922679901123e-01 8.970890045166015625e+00
1.037753963470458984e+01 2.184200882911682129e-01 8.924698829650878906e+00
9.362380981445312500e+00 -4.792799055576324463e-01 8.783118247985839844e+00
1.047091579437255859e+01 3.932701051235198975e-01 8.927555084228515625e+00
1.022732543945312500e+01 3.591001033782958984e-01 9.047506332397460938e+00
9.470785140991210938e+00 4.231801033020019531e-01 8.693115234375000000e+00
9.880166053771972656e+00 -6.539698839187622070e-01 8.920014381408691406e+00
9.344384193420410156e+00 -3.244298994541168213e-01 8.694976806640625000e+00
9.225547790527343750e+00 1.862400919198989868e-01 8.659869194030761719e+00
9.964413642883300781e+00 -2.032799124717712402e-01 8.934997558593750000e+00
6.320379734039306641e+00 -2.328989982604980469e+00 9.182060241699218750e+00
1.035725498199462891e+01 6.190800666809082031e-01 9.107420921325683594e+00
1.050002956390380859e+01 4.881100952625274658e-01 9.093958854675292969e+00
1.043335056304931641e+01 8.877201080322265625e-01 9.117288589477539062e+00
1.000981521606445312e+01 6.854500770568847656e-01 8.814971923828125000e+00
9.930207252502441406e+00 -4.586599171161651611e-01 8.980677604675292969e+00
1.025481891632080078e+01 4.356200993061065674e-01 8.782884597778320312e+00
1.020621109008789062e+01 4.005801081657409668e-01 9.022354125976562500e+00
1.046728038787841797e+01 5.109400749206542969e-01 9.064281463623046875e+00
1.020563697814941406e+01 4.081100821495056152e-01 8.963120460510253906e+00
1.075389385223388672e+01 9.329900741577148438e-01 9.122315406799316406e+00
8.843506813049316406e+00 -6.532499194145202637e-01 8.277197837829589844e+00
1.039737415313720703e+01 6.244900822639465332e-01 9.148898124694824219e+00
9.872538566589355469e+00 5.100009962916374207e-02 9.073645591735839844e+00
9.608261108398437500e+00 -7.315399050712585449e-01 8.767216682434082031e+00
1.012458992004394531e+01 3.139900863170623779e-01 9.044686317443847656e+00
1.014052486419677734e+01 1.904009096324443817e-02 9.040252685546875000e+00
9.971160888671875000e+00 5.902200937271118164e-01 8.918754577636718750e+00
1.013118362426757812e+01 3.232009336352348328e-02 8.959717750549316406e+00
9.464776992797851562e+00 -1.770199090242385864e-01 8.972992897033691406e+00
1.061705684661865234e+01 8.455200791358947754e-01 9.103981018066406250e+00
1.054677295684814453e+01 7.535300850868225098e-01 8.928153991699218750e+00
9.962350845336914062e+00 -4.615990445017814636e-02 9.021078109741210938e+00
1.099308395385742188e+01 1.225800037384033203e+00 9.107859611511230469e+00
1.013032436370849609e+01 6.818401217460632324e-01 9.054822921752929688e+00
8.983201980590820312e+00 -7.217999100685119629e-01 8.801779747009277344e+00
1.027048969268798828e+01 5.169301033020019531e-01 8.928071022033691406e+00
1.018831253051757812e+01 3.921600878238677979e-01 8.762298583984375000e+00
1.022373867034912109e+01 3.171700835227966309e-01 9.055120468139648438e+00
1.000343990325927734e+01 6.760100722312927246e-01 8.895470619201660156e+00
9.236873626708984375e+00 -3.492599129676818848e-01 8.502825736999511719e+00
1.025195503234863281e+01 8.051009476184844971e-02 9.034646034240722656e+00
1.000117206573486328e+01 2.208101004362106323e-01 8.709240913391113281e+00
9.617888450622558594e+00 -1.540990732610225677e-02 8.915263175964355469e+00
9.587521553039550781e+00 2.956600785255432129e-01 8.757496833801269531e+00
9.882498741149902344e+00 7.445009052753448486e-02 8.758947372436523438e+00
1.063444232940673828e+01 4.411900937557220459e-01 9.105853080749511719e+00
9.776596069335937500e+00 -1.872399002313613892e-01 8.848957061767578125e+00
1.056880950927734375e+01 8.036701083183288574e-01 9.068066596984863281e+00
